Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,participant_id,motivationSimilar,motivationDifferent,iden1,iden2,iden3,iden4,iden5,enviroDifRace,enviroDifSes,enviroDifPoli,poliBinary,poli_text,poli,age,gender,citizen,citizenText,liveUS,yearsUS,partUS,partUSText,black,latin,white,asian,other,edu,income,stanfordEmail,mTurkCode,stanfordID
3/5/2019 12:55,3/5/2019 12:56,0,72.202.205.93,100,43,1,3/5/2019 12:56,R_ekYReQEkBBGi6zv,,,,,35.45399475,-94.32779694,anonymous,EN,A1JVWOBGNA6KJT,19,14,,,,,,,,,2,,5,52,2,1,,1,N/A,1,,,,1,,,3,3,,789200,
3/5/2019 12:55,3/5/2019 12:56,0,68.49.194.69,100,91,1,3/5/2019 12:56,R_3s1a9gWD0s5xQVv,,,,,42.24389648,-83.58300018,anonymous,EN,AHY3YAYJLTW32,14,17,,,,,,,,,2,,6,34,2,1,,1,34,2,,,,1,,,5,3,,2159759,
3/5/2019 13:21,3/5/2019 13:22,0,198.136.26.47,100,86,1,3/5/2019 13:22,R_3RpZhRzw90ApsJN,,,,,34.05839539,-118.2779999,anonymous,EN,A2GA29WTMFW2W,17,14,,,,,,,,,2,,5,39,2,1,,1,N/A,3,West,,,,1,,3,1,,4630153,
3/5/2019 13:23,3/5/2019 13:24,0,173.187.155.222,100,106,1,3/5/2019 13:24,R_25EhNwpKrtwabCf,,,,,37.15490723,-84.09609985,anonymous,EN,A3GXC3VG37CQ3G,17,17,,,,,,,,,2,,5,39,2,1,,1,N/A,1,,,,1,,,6,1,,5043464,
3/5/2019 13:39,3/5/2019 13:40,0,67.181.28.103,100,68,1,3/5/2019 13:40,R_3Of4CWvFppC6Lrx,,,,,38.69670105,-121.3130035,anonymous,EN,AQ9Y6WD8O72ZC,17,15,,,,,,,,,1,,4,29,1,1,,1,n/a,3,west,,,1,,,3,2,,9285509,
3/5/2019 13:50,3/5/2019 13:51,0,66.244.80.125,100,67,1,3/5/2019 13:51,R_1q1U9WqHohMniYO,,,,,39.13969421,-86.51409912,anonymous,EN,A21STU4Z97J2Z6,16,18,,,,,,,,,1,,2,24,1,1,,1,N/A,2,,1,,1,,,3,1,,8007592,
3/5/2019 14:03,3/5/2019 14:04,0,69.133.33.254,100,62,1,3/5/2019 14:04,R_aVJglWyUmS74dl7,,,,,39.75309753,-84.2507019,anonymous,EN,A2CF2BD4Q0ZDJN,18,15,,,,,,,,,1,,2,56,2,1,,1,N/A,2,,,,1,,,5,3,,5044607,
3/7/2019 14:34,3/7/2019 14:36,0,108.184.171.98,100,77,1,3/7/2019 14:36,R_3QPFaYeiQcWzBsS,,,,,34.10910034,-117.7126007,anonymous,EN,A3OV174HQJIJK8,17,15,,,,,,,,,1,,3,45,2,1,,1,n/a,3,west,,,1,,,4,2,,9947813,
3/7/2019 14:35,3/7/2019 14:36,0,73.140.16.237,100,105,1,3/7/2019 14:36,R_YPvDpRIbXC7MPFT,,,,,47.90049744,-122.2472,anonymous,EN,AQAXDL1INQC9Q,18,15,,,,,,,,,2,,7,46,1,1,,1,46,3,West,,,1,,,3,1,,5950690,
3/7/2019 14:37,3/7/2019 14:38,0,73.198.13.141,100,47,1,3/7/2019 14:38,R_1mmCuDEhrmzP7Ht,,,,,39.37730408,-74.61229706,anonymous,EN,A3UV55HC87DO9C,18,15,,,,,,,,,1,,2,28,2,1,,1,28,2,,,,1,,,5,2,,5009899,
